last seen position,churned_trial_users,churned_paid_users,active_paid_users
Welcome to the Nanodegree::Give us feedback!::58,4,1,1
Welcome to the Nanodegree::Before the Program Orientation::59,11,4,4
Model Evaluation and Validation::Mode of Distribution::59,4,,
Model Evaluation and Validation::Mode - Negatively Skewed Distribution::60,1,2,
Welcome to the Nanodegree::Introduction::60,2,1,2
Welcome to the Nanodegree::Projects and Progress::61,15,1,1
Model Evaluation and Validation::Mode - Uniform Distribution::61,2,,1
Welcome to the Nanodegree::Career Development::62,7,1,1
Model Evaluation and Validation::More than One Mode?::62,3,,1
Model Evaluation and Validation::Mode of Categorical Data::63,3,,3
Welcome to the Nanodegree::Connecting with Your Community::63,1,1,6
Welcome to the Nanodegree::Support from the Udacity Team::64,4,1,4
Model Evaluation and Validation::More o' Mode!::64,1,2,
Welcome to the Nanodegree::How Does Project Submission Work?::65,5,,3
Model Evaluation and Validation::Find the Mean::65,5,2,2
Welcome to the Nanodegree::Integrity and Mindset::66,3,1,
Model Evaluation and Validation::Procedure for Finding Mean::66,3,1,2
Welcome to the Nanodegree::How Do I Find Time for My Nanodegree?::67,7,,3
Model Evaluation and Validation::Iterative Procedure::67,1,,
Model Evaluation and Validation::Helpful Symbols::68,6,1,1
Welcome to the Nanodegree::Final Tips::68,10,4,2
Model Evaluation and Validation::Properties of the Mean::69,1,1,2
Welcome to the Nanodegree::Wrapping Up the Program Orientation::69,38,9,10
Model Evaluation and Validation::Mean with Outlier::70,2,3,
(Optional) Exploratory Project::Overview::70,32,8,6
(Optional) Exploratory Project::Software Requirements::71,39,9,12
Model Evaluation and Validation::What Can You Expect?::71,,,
Model Evaluation and Validation::UNC::72,2,,2
(Optional) Exploratory Project::Starting the Project::72,81,26,30
(Optional) Exploratory Project::Submitting the Project::73,114,17,42
Model Evaluation and Validation::Requirement for Median::73,1,,
Model Evaluation and Validation::Intro to Model Evaluation and Validation::74,38,4,7
Model Evaluation and Validation::Find the Median::74,2,,1
Model Evaluation and Validation::Model Evaluation What You'll Watch::75,17,5,4
Model Evaluation and Validation::Median with Outlier::75,1,1,1
Model Evaluation and Validation::Model Evaluation What You'll Learn::76,5,6,1
Model Evaluation and Validation::Find Median with Outlier::76,1,,
Model Evaluation and Validation::Course Outline - Fitting It All Together::77,1,,4
Model Evaluation and Validation::Measures of Center::77,2,,
Model Evaluation and Validation::Model Evaluation What You'll Do::78,5,2,1
Model Evaluation and Validation::Order Measures of Center 1::78,2,2,2
Model Evaluation and Validation::Statistics Review & Supporting Libraries::79,10,2,1
Model Evaluation and Validation::Order Measures of Center 2::79,,,
Model Evaluation and Validation::Use Measures of Center to Compare::80,1,,2
Model Evaluation and Validation::Prerequisites::80,17,11,5
Model Evaluation and Validation::Which Major?::81,14,6,4
Model Evaluation and Validation::Udacians' Facebook Friends - Mean::81,3,2,
Model Evaluation and Validation::One Number to Describe Data::82,10,,1
Model Evaluation and Validation::Udacians' Facebook Friends - Median::82,1,,1
Model Evaluation and Validation::Formula for Location of Median::83,1,4,1
Model Evaluation and Validation::Which Number to Choose?::83,10,,4
Model Evaluation and Validation::Mode of Dataset::84,4,,1
Model Evaluation and Validation::Wrap Up - Measures of Center::84,,,
Model Evaluation and Validation::Good Job!::85,7,2,3
Model Evaluation and Validation::Mode of Distribution::85,4,,
Model Evaluation and Validation::Mode - Negatively Skewed Distribution::86,1,2,
Model Evaluation and Validation::Social Networkers' Salaries::86,11,3,11
Model Evaluation and Validation::Mode - Uniform Distribution::87,2,,1
Model Evaluation and Validation::Should You Get an Account?::87,4,3,1
Model Evaluation and Validation::More than One Mode?::88,3,,1
Model Evaluation and Validation::What's the Difference?::88,2,,1
Model Evaluation and Validation::Quantify Spread::89,4,1,2
Model Evaluation and Validation::Mode of Categorical Data::89,3,,3
Model Evaluation and Validation::Does Range Change?::90,1,,1
Model Evaluation and Validation::More o' Mode!::90,1,2,
Model Evaluation and Validation::Find the Mean::91,5,2,2
Model Evaluation and Validation::Mark Z the Outlier::91,1,,1
Model Evaluation and Validation::Chop Off the Tails::92,,2,2
Model Evaluation and Validation::Procedure for Finding Mean::92,3,1,2
Model Evaluation and Validation::Where Is Q1?::93,3,,
Model Evaluation and Validation::Iterative Procedure::93,1,,
Model Evaluation and Validation::Q3 - Q1::94,,2,
Model Evaluation and Validation::Helpful Symbols::94,6,1,1
Model Evaluation and Validation::IQR::95,1,,
Model Evaluation and Validation::Properties of the Mean::95,1,1,2
Model Evaluation and Validation::What Is an Outlier?::96,1,2,2
Model Evaluation and Validation::Mean with Outlier::96,2,3,
Model Evaluation and Validation::Define Outlier::97,2,,1
Model Evaluation and Validation::What Can You Expect?::97,,,
Model Evaluation and Validation::UNC::98,2,,2
Model Evaluation and Validation::Match Boxplots::98,,1,1
Model Evaluation and Validation::Mean Within IQR?::99,1,,
Model Evaluation and Validation::Requirement for Median::99,1,,
Model Evaluation and Validation::Find the Median::100,2,,1
Model Evaluation and Validation::Problem with IQR::100,,,1
Model Evaluation and Validation::Measure Variability::101,3,2,2
Model Evaluation and Validation::Median with Outlier::101,1,1,1
Model Evaluation and Validation::Calculate Mean::102,,1,
Model Evaluation and Validation::Find Median with Outlier::102,1,,
Model Evaluation and Validation::Deviation from Mean::103,2,,1
Model Evaluation and Validation::Measures of Center::103,2,,
Model Evaluation and Validation::Order Measures of Center 1::104,2,2,2
Model Evaluation and Validation::Average Deviation::104,1,,3
Model Evaluation and Validation::Equation for Average Deviation::105,2,2,
Model Evaluation and Validation::Order Measures of Center 2::105,,,
Model Evaluation and Validation::Use Measures of Center to Compare::106,1,,2
Model Evaluation and Validation::Be Happy and Get Rid of Negatives::106,,,
Model Evaluation and Validation::Udacians' Facebook Friends - Mean::107,3,2,
Model Evaluation and Validation::Absolute Deviations::107,,,2
Model Evaluation and Validation::Udacians' Facebook Friends - Median::108,1,,1
Model Evaluation and Validation::Average Absolute Deviation::108,,,1
Model Evaluation and Validation::Formula for Avg. Abs. Dev.::109,,,
Model Evaluation and Validation::Formula for Location of Median::109,1,4,1
Model Evaluation and Validation::Wrap Up - Measures of Center::110,,,
Model Evaluation and Validation::Squared Deviations::110,1,1,2
Model Evaluation and Validation::Good Job!::111,7,2,3
Model Evaluation and Validation::Sum of Squares::111,1,,
Model Evaluation and Validation::Average Squared Deviation::112,3,,1
Model Evaluation and Validation::Social Networkers' Salaries::112,11,3,11
Model Evaluation and Validation::Avg. Squared Dev. in Words::113,,,
Model Evaluation and Validation::Should You Get an Account?::113,4,3,1
Model Evaluation and Validation::One Dimension::114,1,1,
Model Evaluation and Validation::What's the Difference?::114,2,,1
Model Evaluation and Validation::Quantify Spread::115,4,1,2
Model Evaluation and Validation::Standard Deviation::115,2,,
Model Evaluation and Validation::Calculate SD::116,,,
Model Evaluation and Validation::Does Range Change?::116,1,,1
Model Evaluation and Validation::Mark Z the Outlier::117,1,,1
Model Evaluation and Validation::SD Social Networkers::117,,1,1
Model Evaluation and Validation::Chop Off the Tails::118,,2,2
Model Evaluation and Validation::SD in Words::118,,1,1
Model Evaluation and Validation::Spreadsheet SD::119,,2,1
Model Evaluation and Validation::Where Is Q1?::119,3,,
Model Evaluation and Validation::Point of SD::120,,1,
Model Evaluation and Validation::Q3 - Q1::120,,2,
Model Evaluation and Validation::IQR::121,1,,
Model Evaluation and Validation::Find Values::121,1,,1
Model Evaluation and Validation::Sample SD::122,,,
Model Evaluation and Validation::What Is an Outlier?::122,1,2,2
Model Evaluation and Validation::Bessel's Correction::123,,,1
Model Evaluation and Validation::Define Outlier::123,2,,1
Model Evaluation and Validation::Match Boxplots::124,,1,1
Model Evaluation and Validation::Clarifying Sample SD::124,3,,
Model Evaluation and Validation::Mean Within IQR?::125,1,,
Model Evaluation and Validation::Jelly Beans::125,3,,5
Model Evaluation and Validation::Problem with IQR::126,,,1
Model Evaluation and Validation::Numpy and Pandas Tutorials::126,11,3,6
Model Evaluation and Validation::Measure Variability::127,3,2,2
Model Evaluation and Validation::Numpy::127,5,1,5
Model Evaluation and Validation::Calculate Mean::128,,1,
Model Evaluation and Validation::Numpy Playground::128,6,6,4
Model Evaluation and Validation::Deviation from Mean::129,2,,1
Model Evaluation and Validation::Pandas::129,3,6,4
Model Evaluation and Validation::Average Deviation::130,1,,3
Model Evaluation and Validation::Pandas Playground -- Series::130,9,2,5
Model Evaluation and Validation::Equation for Average Deviation::131,2,2,
Model Evaluation and Validation::Pandas Playground -- Dataframe::131,8,1,4
Model Evaluation and Validation::Create a DataFrame::132,3,3,1
Model Evaluation and Validation::Be Happy and Get Rid of Negatives::132,,,
Model Evaluation and Validation::Absolute Deviations::133,,,2
Model Evaluation and Validation::Dataframe Columns::133,4,,3
Model Evaluation and Validation::Average Absolute Deviation::134,,,1
Model Evaluation and Validation::Pandas Playground - Indexing Dataframes::134,3,2,2
Model Evaluation and Validation::Formula for Avg. Abs. Dev.::135,,,
Model Evaluation and Validation::Pandas Vectorized Methods::135,2,2,4
Model Evaluation and Validation::Squared Deviations::136,1,1,2
Model Evaluation and Validation::Average Bronze Medals::136,7,3,2
Model Evaluation and Validation::Sum of Squares::137,1,,
"Model Evaluation and Validation::Average Gold, Silver, and Bronze Medals::137",3,2,1
Model Evaluation and Validation::Average Squared Deviation::138,3,,1
Model Evaluation and Validation::Matrix Multiplication and Numpy Dot::138,2,,2
Model Evaluation and Validation::Olympics Medal Points::139,6,6,8
Model Evaluation and Validation::Avg. Squared Dev. in Words::139,,,
Model Evaluation and Validation::scikit-learn Installation::140,3,3,8
Model Evaluation and Validation::One Dimension::140,1,1,
Model Evaluation and Validation::Standard Deviation::141,2,,
Model Evaluation and Validation::scikit-learn Code::141,1,,3
Model Evaluation and Validation::Calculate SD::142,,,
Model Evaluation and Validation::Getting Started With sklearn::142,3,1,2
Model Evaluation and Validation::SD Social Networkers::143,,1,1
Model Evaluation and Validation::Gaussian NB Example::143,5,2,3
Model Evaluation and Validation::SD in Words::144,,1,1
Model Evaluation and Validation::GaussianNB Deployment on Terrain Data::144,4,4,14
Model Evaluation and Validation::Spreadsheet SD::145,,2,1
Model Evaluation and Validation::Data Types 1 - Numeric Data::145,9,2,2
Model Evaluation and Validation::Data Types 2 - Categorical Data::146,,,
Model Evaluation and Validation::Point of SD::146,,1,
Model Evaluation and Validation::Find Values::147,1,,1
Model Evaluation and Validation::Data Types 3 - Time Series Data::147,1,,2
Model Evaluation and Validation::Treatment of categorical data::148,3,1,3
Model Evaluation and Validation::Sample SD::148,,,
Model Evaluation and Validation::One-Hot Encoding::149,8,5,12
Model Evaluation and Validation::Bessel's Correction::149,,,1
Model Evaluation and Validation::Time series data leakage::150,,,1
Model Evaluation and Validation::Clarifying Sample SD::150,3,,
Model Evaluation and Validation::Jelly Beans::151,3,,5
Model Evaluation and Validation::A Hands-on Example::151,4,1,1
Model Evaluation and Validation::Introduction::152,3,1,4
Model Evaluation and Validation::Numpy and Pandas Tutorials::152,11,3,6
Model Evaluation and Validation::Numpy::153,5,1,5
Model Evaluation and Validation::What Is A POI::153,3,1,1
Model Evaluation and Validation::Numpy Playground::154,6,6,4
Model Evaluation and Validation::Accuracy vs. Training Set Size::154,1,,1
Model Evaluation and Validation::Pandas::155,3,6,4
Model Evaluation and Validation::Downloading Enron Data::155,1,1,2
Model Evaluation and Validation::Pandas Playground -- Series::156,9,2,5
Model Evaluation and Validation::Types of Data Quiz 1::156,2,3,1
Model Evaluation and Validation::Pandas Playground -- Dataframe::157,8,1,4
Model Evaluation and Validation::Types of Data Quiz 2::157,1,,
Model Evaluation and Validation::Types of Data Quiz 3::158,,,
Model Evaluation and Validation::Create a DataFrame::158,3,3,1
Model Evaluation and Validation::Types of Data Quiz 4::159,,,
Model Evaluation and Validation::Dataframe Columns::159,4,,3
Model Evaluation and Validation::Types of Data Quiz 5::160,,,
Model Evaluation and Validation::Pandas Playground - Indexing Dataframes::160,3,2,2
Model Evaluation and Validation::Types of Data Quiz 6::161,,,
Model Evaluation and Validation::Pandas Vectorized Methods::161,2,2,4
Model Evaluation and Validation::Enron Dataset Mini-Project Video::162,,,2
Model Evaluation and Validation::Average Bronze Medals::162,7,3,2
Model Evaluation and Validation::Datasets and Questions Mini-Project::163,1,3,11
"Model Evaluation and Validation::Average Gold, Silver, and Bronze Medals::163",3,2,1
Model Evaluation and Validation::Size of the Enron Dataset::164,6,,5
Model Evaluation and Validation::Matrix Multiplication and Numpy Dot::164,2,,2
Model Evaluation and Validation::Olympics Medal Points::165,6,6,8
Model Evaluation and Validation::Features in the Enron Dataset::165,2,,2
Model Evaluation and Validation::scikit-learn Installation::166,3,3,8
Model Evaluation and Validation::Finding POIs in the Enron Data::166,3,1,2
Model Evaluation and Validation::scikit-learn Code::167,1,,3
Model Evaluation and Validation::How Many POIs Exist?::167,1,,1
Model Evaluation and Validation::Getting Started With sklearn::168,3,1,2
Model Evaluation and Validation::Problems with Incomplete Data::168,,,
Model Evaluation and Validation::Query the Dataset 1::169,,,1
Model Evaluation and Validation::Gaussian NB Example::169,5,2,3
Model Evaluation and Validation::GaussianNB Deployment on Terrain Data::170,4,4,14
Model Evaluation and Validation::Query the Dataset 2::170,,,
Model Evaluation and Validation::Data Types 1 - Numeric Data::171,9,2,2
Model Evaluation and Validation::Query the Dataset 3::171,,1,
Model Evaluation and Validation::Welcome to Evaluation Metrics Lesson::171,4,1,3
Model Evaluation and Validation::Before Picking a Metric::172,2,,
Model Evaluation and Validation::Data Types 2 - Categorical Data::172,,,
Model Evaluation and Validation::Research the Enron Fraud::172,,1,2
Model Evaluation and Validation::Data Types 3 - Time Series Data::173,1,,2
Model Evaluation and Validation::Enron CEO::173,1,,1
Model Evaluation and Validation::Classification and Regression::173,,3,1
Model Evaluation and Validation::Enron Chairman::174,,,
Model Evaluation and Validation::Treatment of categorical data::174,3,1,3
Model Evaluation and Validation::Classification vs Regression Metrics::174,,1,
Model Evaluation and Validation::One-Hot Encoding::175,8,5,12
Model Evaluation and Validation::Enron CFO::175,,,
Model Evaluation and Validation::Classification Metrics::175,1,,1
Model Evaluation and Validation::Accuracy::176,1,1,2
Model Evaluation and Validation::Time series data leakage::176,,,1
Model Evaluation and Validation::Follow the Money::176,,1,1
Model Evaluation and Validation::A Hands-on Example::177,4,1,1
Model Evaluation and Validation::Shortcomings of Accuracy::177,9,,7
Model Evaluation and Validation::Unfilled Features::177,2,,
Model Evaluation and Validation::Picking the Most Suitable Metric::178,,,
Model Evaluation and Validation::Introduction::178,3,1,4
Model Evaluation and Validation::Dealing with Unfilled Features::178,,,3
Model Evaluation and Validation::Confusion Matrices::179,1,1,1
Model Evaluation and Validation::Dict-to-array conversion::179,,2,3
Model Evaluation and Validation::What Is A POI::179,3,1,1
Model Evaluation and Validation::Accuracy vs. Training Set Size::180,1,,1
Model Evaluation and Validation::Missing POIs 1 (optional)::180,5,1,2
Model Evaluation and Validation::Confusion Matrix Practice 1::180,1,,
Model Evaluation and Validation::Missing POIs 2 (optional)::181,,,1
Model Evaluation and Validation::Downloading Enron Data::181,1,1,2
Model Evaluation and Validation::Confusion Matrix Practice 2::181,1,,1
Model Evaluation and Validation::Filling in a Confusion Matrix::182,1,,1
Model Evaluation and Validation::Missing POIs 3 (optional)::182,,,
Model Evaluation and Validation::Types of Data Quiz 1::182,2,3,1
Model Evaluation and Validation::Missing POIs 4 (optional)::183,2,,1
Model Evaluation and Validation::Types of Data Quiz 2::183,1,,
Model Evaluation and Validation::Confusion Matrix: False Alarms::183,,,1
Model Evaluation and Validation::Decision Tree Confusion Matrix::184,3,,
Model Evaluation and Validation::Types of Data Quiz 3::184,,,
Model Evaluation and Validation::Missing POIs 5 (optional)::184,,,
Model Evaluation and Validation::Types of Data Quiz 4::185,,,
Model Evaluation and Validation::Missing POIs 6 (optional)::185,,1,
Model Evaluation and Validation::Precision and Recall::185,2,1,1
Model Evaluation and Validation::Powell Precision and Recall::186,,1,
Model Evaluation and Validation::Types of Data Quiz 5::186,,,
Model Evaluation and Validation::Mixing Data Sources (optional)::186,,1,1
Model Evaluation and Validation::Benefits of Testing::187,4,1,4
Model Evaluation and Validation::Types of Data Quiz 6::187,,,
Model Evaluation and Validation::Bush Precision and Recall::187,1,,1
Model Evaluation and Validation::True Positives in Eigenfaces::188,,1,
Model Evaluation and Validation::Train/Test Split in sklearn::188,4,14,8
Model Evaluation and Validation::Enron Dataset Mini-Project Video::188,,,2
Model Evaluation and Validation::Datasets and Questions Mini-Project::189,1,3,11
Model Evaluation and Validation::Welcome to Evaluation Metrics Lesson::189,4,1,3
Model Evaluation and Validation::False Positives in Eigenfaces::189,2,,
Model Evaluation and Validation::Size of the Enron Dataset::190,6,,5
Model Evaluation and Validation::False Negatives in Eigenfaces::190,,,
Model Evaluation and Validation::Metrics::190,,,
Model Evaluation and Validation::Features in the Enron Dataset::191,2,,2
"Model Evaluation and Validation::Practicing TP, FP, FN with Rumsfeld::191",,,
Model Evaluation and Validation::Classification and Regression::191,,3,1
Model Evaluation and Validation::Finding POIs in the Enron Data::192,3,1,2
Model Evaluation and Validation::Classification Metrics::192,1,,1
Model Evaluation and Validation::Equation for Precision::192,,,
Model Evaluation and Validation::Equation for Recall::193,,1,2
Model Evaluation and Validation::Accuracy::193,1,1,2
Model Evaluation and Validation::How Many POIs Exist?::193,1,,1
Model Evaluation and Validation::F1 Score::194,,,2
Model Evaluation and Validation::Problems with Incomplete Data::194,,,
Model Evaluation and Validation::Evaluate the accuracy::194,3,1,3
Model Evaluation and Validation::Shortcomings of Accuracy::195,9,,7
Model Evaluation and Validation::Query the Dataset 1::195,,,1
Model Evaluation and Validation::Regression Metrics::195,,,
Model Evaluation and Validation::Picking the Most Suitable Metric::196,,,
Model Evaluation and Validation::Mean Absolute Error::196,,1,2
Model Evaluation and Validation::Query the Dataset 2::196,,,
Model Evaluation and Validation::Mean Squared Error::197,1,,
Model Evaluation and Validation::Query the Dataset 3::197,,1,
Model Evaluation and Validation::Confusion Matrices::197,1,1,1
Model Evaluation and Validation::Regression Scoring Functions::198,3,1,5
Model Evaluation and Validation::Research the Enron Fraud::198,,1,2
Model Evaluation and Validation::Confusion Matrix Practice 1::198,1,,
Model Evaluation and Validation::Enron CEO::199,1,,1
Model Evaluation and Validation::Causes of Error::199,4,2,7
Model Evaluation and Validation::Confusion Matrix Practice 2::199,1,,1
Model Evaluation and Validation::Error due to Bias::200,3,,3
Model Evaluation and Validation::Enron Chairman::200,,,
Model Evaluation and Validation::Filling in a Confusion Matrix::200,1,,1
"Model Evaluation and Validation::Linear Learner, Quadratic Data::201",3,7,5
Model Evaluation and Validation::Confusion Matrix: False Alarms::201,,,1
Model Evaluation and Validation::Enron CFO::201,,,
Model Evaluation and Validation::Error due to Variance::202,2,2,2
Model Evaluation and Validation::Decision Tree Confusion Matrix::202,3,,
Model Evaluation and Validation::Follow the Money::202,,1,1
"Model Evaluation and Validation::Noisy Data, Complex Model::203",1,1,3
Model Evaluation and Validation::Unfilled Features::203,2,,
Model Evaluation and Validation::Build a confusion matrix::203,1,1,1
Model Evaluation and Validation::Dealing with Unfilled Features::204,,,3
Model Evaluation and Validation::Improving the Validity of a Model::204,1,1,1
Model Evaluation and Validation::Dict-to-array conversion::205,,2,3
"Model Evaluation and Validation::Bias, Variance, and Number of Features::205",1,1,1
Model Evaluation and Validation::Precision and Recall::205,2,1,1
"Model Evaluation and Validation::Bias, Variance & Number of Features Pt 2::206",,,
Model Evaluation and Validation::Powell Precision and Recall::206,,1,
Model Evaluation and Validation::Missing POIs 1 (optional)::206,5,1,2
Model Evaluation and Validation::Bush Precision and Recall::207,1,,1
Model Evaluation and Validation::Missing POIs 2 (optional)::207,,,1
Model Evaluation and Validation::Overfitting by Eye::207,1,,2
Model Evaluation and Validation::Data Types 1 - Numeric Data::208,9,2,2
Model Evaluation and Validation::True Positives in Eigenfaces::208,,1,
Model Evaluation and Validation::Missing POIs 3 (optional)::208,,,
Model Evaluation and Validation::Data Types 2 - Categorical Data::209,,,
Model Evaluation and Validation::False Positives in Eigenfaces::209,2,,
Model Evaluation and Validation::Missing POIs 4 (optional)::209,2,,1
Model Evaluation and Validation::Data Types 3 - Time Series Data::210,1,,2
Model Evaluation and Validation::Missing POIs 5 (optional)::210,,,
Model Evaluation and Validation::False Negatives in Eigenfaces::210,,,
"Model Evaluation and Validation::Practicing TP, FP, FN with Rumsfeld::211",,,
Model Evaluation and Validation::Missing POIs 6 (optional)::211,,1,
Model Evaluation and Validation::Benefits of Testing::211,4,1,4
Model Evaluation and Validation::Train/Test Split in sklearn::212,4,14,8
Model Evaluation and Validation::Equation for Precision::212,,,
Model Evaluation and Validation::Mixing Data Sources (optional)::212,,1,1
Model Evaluation and Validation::Equation for Recall::213,,1,2
Model Evaluation and Validation::K-Fold Cross Validation::213,10,3,7
Model Evaluation and Validation::Benefits of Testing::213,4,1,4
Model Evaluation and Validation::Precision Vs Recall::214,1,,3
